date,option_symbol,expiration,type,strike,bid,ask,iv,delta,gamma,theta,vega,rho,volume,open_interest,last,last_trade_time,spot
2025-12-15,AAPL260102P00180000,2026-01-02,P,180.0,0.0,0.94,0.9344,-0.0005,0.0,-0.0015,0.0013,-0.0001,555.0,558.0,0.01,2025-12-12T10:40:35,278.2799987792969
2025-12-15,AAPL260102P00200000,2026-01-02,P,200.0,0.0,0.04,0.4952,-0.0014,0.0001,-0.003,0.0032,-0.0002,14.0,41.0,0.02,2025-12-12T14:47:29,278.2799987792969
2025-12-15,AAPL260102P00215000,2026-01-02,P,215.0,0.02,0.08,0.4353,-0.003,0.0003,-0.0052,0.0065,-0.0004,9.0,640.0,0.07,2025-12-12T14:27:34,278.2799987792969
2025-12-15,AAPL260102P00220000,2026-01-02,P,220.0,0.02,0.48,0.4968,-0.004,0.0005,-0.0064,0.0083,-0.0006,3.0,675.0,0.08,2025-12-12T14:28:20,278.2799987792969
2025-12-15,AAPL260102P00225000,2026-01-02,P,225.0,0.03,0.07,0.3664,-0.0054,0.0006,-0.008,0.0109,-0.0008,1.0,260.0,0.04,2025-12-12T10:35:56,278.2799987792969
2025-12-15,AAPL260102P00235000,2026-01-02,P,235.0,0.06,0.08,0.3123,-0.0105,0.0013,-0.0128,0.0195,-0.0016,21.0,165.0,0.07,2025-12-12T15:26:33,278.2799987792969
2025-12-15,AAPL260102C00240000,2026-01-02,C,240.0,37.15,40.95,0.1975,0.9855,0.0019,-0.0166,0.0267,0.1352,1.0,66.0,38.43,2025-12-12T09:30:12,278.2799987792969
2025-12-15,AAPL260102P00240000,2026-01-02,P,240.0,0.09,0.11,0.2922,-0.0152,0.0019,-0.0168,0.0269,-0.0022,133.0,495.0,0.1,2025-12-12T15:36:12,278.2799987792969
2025-12-15,AAPL260102C00245000,2026-01-02,C,245.0,33.2,35.15,0.2428,0.978,0.0029,-0.022,0.0374,0.1369,5.0,155.0,33.62,2025-12-12T11:45:45,278.2799987792969
2025-12-15,AAPL260102P00245000,2026-01-02,P,245.0,0.14,0.16,0.2734,-0.0227,0.0029,-0.0223,0.0378,-0.0034,28.0,366.0,0.16,2025-12-12T15:41:14,278.2799987792969
2025-12-15,AAPL260102C00250000,2026-01-02,C,250.0,28.45,29.9,0.2149,0.966,0.0044,-0.0298,0.0534,0.1378,2.0,341.0,28.68,2025-12-12T11:32:54,278.2799987792969
2025-12-15,AAPL260102P00250000,2026-01-02,P,250.0,0.22,0.24,0.2549,-0.035,0.0045,-0.0302,0.0538,-0.0051,46.0,923.0,0.22,2025-12-12T15:59:27,278.2799987792969
